"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2023","70.68","69.96","70.75","69.72","4.34M","0.93%"
"11/17/2023","70.03","69.73","70.31","69.07","4.05M","0.82%"
"11/16/2023","69.46","70.91","71.07","69.02","6.02M","-2.35%"
"11/15/2023","71.13","71.04","72.90","70.86","6.13M","1.67%"
"11/14/2023","69.96","69.35","70.69","69.08","9.08M","4.97%"
"11/13/2023","66.65","66.37","66.82","65.75","7.08M","-1.08%"
"11/10/2023","67.38","65.50","67.84","65.14","7.93M","4.71%"
"11/09/2023","64.35","66.28","66.50","64.03","10.55M","-2.87%"
"11/08/2023","66.25","66.77","66.82","65.46","8.91M","-0.82%"
"11/07/2023","66.80","66.28","67.46","65.80","9.65M","0.86%"
"11/06/2023","66.23","68.65","68.96","65.42","9.26M","-2.96%"
"11/03/2023","68.25","67.37","68.88","66.87","11.67M","2.43%"
"11/02/2023","66.63","65.92","67.34","64.28","12.03M","2.76%"
"11/01/2023","64.84","62.50","64.86","61.47","15.56M","3.51%"
"10/31/2023","62.64","64.18","65.03","61.72","22.21M","-4.13%"
"10/30/2023","65.34","73.29","73.59","64.99","39.76M","-21.77%"
"10/27/2023","83.52","84.27","84.57","82.65","10.64M","0.88%"
"10/26/2023","82.79","82.77","84.57","82.01","8.23M","2.01%"
"10/25/2023","81.16","82.85","84.25","80.62","8.73M","-4.62%"
"10/24/2023","85.09","84.09","85.78","83.63","5.27M","1.77%"
"10/23/2023","83.61","84.07","85.32","82.90","5.55M","-1.44%"
"10/20/2023","84.83","87.00","87.69","83.85","7.08M","-2.51%"
"10/19/2023","87.01","90.00","90.09","86.55","5.61M","-2.88%"
"10/18/2023","89.59","90.00","90.60","88.63","5.34M","-2.29%"
"10/17/2023","91.69","90.07","92.86","90.00","4.73M","0.00%"
"10/16/2023","91.69","89.83","92.05","89.52","4.81M","2.86%"
"10/13/2023","89.14","93.77","93.92","88.82","5.44M","-4.20%"
"10/12/2023","93.05","95.35","95.59","92.28","5.60M","-2.20%"
"10/11/2023","95.14","93.53","95.20","93.38","3.88M","1.95%"
"10/10/2023","93.32","91.90","94.19","91.56","4.31M","2.63%"
"10/09/2023","90.93","89.80","91.18","89.09","2.23M","0.00%"
"10/06/2023","90.93","87.77","91.50","86.84","4.10M","3.13%"
"10/05/2023","88.17","89.74","90.25","86.94","4.08M","-2.02%"
"10/04/2023","89.99","87.50","90.71","87.31","7.26M","0.26%"
"10/03/2023","89.76","92.04","92.83","88.35","6.10M","-3.87%"
"10/02/2023","93.37","93.95","95.64","92.04","3.94M","0.45%"
"09/29/2023","92.95","95.50","95.67","92.76","4.21M","-1.17%"
"09/28/2023","94.05","92.14","95.64","91.43","4.39M","2.17%"
"09/27/2023","92.05","91.30","92.76","90.21","4.68M","2.11%"
"09/26/2023","90.15","93.42","93.71","89.28","6.59M","-4.56%"
"09/25/2023","94.46","92.98","95.07","92.51","2.77M","0.69%"
"09/22/2023","93.81","92.16","94.70","91.95","5.17M","3.17%"
"09/21/2023","90.93","91.77","92.37","90.83","5.11M","-2.06%"
"09/20/2023","92.84","94.97","95.69","92.79","2.90M","-1.49%"
"09/19/2023","94.24","94.53","94.87","92.93","3.42M","-0.38%"
"09/18/2023","94.60","92.00","94.92","92.00","3.30M","1.61%"
"09/15/2023","93.10","95.72","95.87","92.27","9.75M","-3.49%"
"09/14/2023","96.47","97.94","98.07","94.80","5.54M","-0.37%"
"09/13/2023","96.83","96.82","98.58","96.39","4.06M","0.04%"
"09/12/2023","96.79","96.62","99.45","96.42","3.41M","-1.08%"
"09/11/2023","97.85","99.18","99.37","95.95","3.92M","-0.07%"
"09/08/2023","97.92","98.75","99.75","96.94","3.60M","-0.60%"
"09/07/2023","98.51","97.46","99.15","96.12","4.72M","-0.99%"
"09/06/2023","99.49","99.30","101.30","97.74","3.37M","0.18%"
"09/05/2023","99.31","99.23","100.21","97.17","3.14M","-0.09%"
"09/01/2023","99.40","99.31","99.85","97.75","3.23M","0.95%"
